[0.632s][info][gc,metaspace ] GC(4) Metaspace: 6493K->6493K(1056768K)
[0.632s][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.633ms
[0.632s][info][gc,cpu       ] GC(4) User=0.01s Sys=0.00s Real=0.01s
[0.703s][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[0.703s][info][gc,task      ] GC(5) Using 8 workers of 8 for evacuation
[0.705s][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[0.705s][info][gc,phases    ] GC(5)   Evacuate Collection Set: 1.1ms
[0.705s][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.2ms
[0.705s][info][gc,phases    ] GC(5)   Other: 0.1ms
[0.705s][info][gc,heap      ] GC(5) Eden regions: 305->0(305)
[0.705s][info][gc,heap      ] GC(5) Survivor regions: 2->2(39)
[0.705s][info][gc,heap      ] GC(5) Old regions: 0->0
[0.705s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[0.705s][info][gc,metaspace ] GC(5) Metaspace: 6493K->6493K(1056768K)
[0.705s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.517ms
[0.705s][info][gc,cpu       ] GC(5) User=0.01s Sys=0.00s Real=0.00s
[0.771s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[0.771s][info][gc,task      ] GC(6) Using 8 workers of 8 for evacuation
[0.773s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.773s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 1.1ms
[0.773s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.3ms
[0.773s][info][gc,phases    ] GC(6)   Other: 0.1ms
[0.773s][info][gc,heap      ] GC(6) Eden regions: 305->0(305)
[0.773s][info][gc,heap      ] GC(6) Survivor regions: 2->2(39)
[0.773s][info][gc,heap      ] GC(6) Old regions: 0->0
[0.773s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[0.773s][info][gc,metaspace ] GC(6) Metaspace: 6493K->6493K(1056768K)
[0.773s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.639ms
[0.773s][info][gc,cpu       ] GC(6) User=0.01s Sys=0.00s Real=0.00s
[0.838s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[0.838s][info][gc,task      ] GC(7) Using 8 workers of 8 for evacuation
[0.840s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[0.840s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 1.3ms
[0.840s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.3ms
[0.840s][info][gc,phases    ] GC(7)   Other: 0.1ms
[0.840s][info][gc,heap      ] GC(7) Eden regions: 305->0(305)
[0.840s][info][gc,heap      ] GC(7) Survivor regions: 2->2(39)
[0.840s][info][gc,heap      ] GC(7) Old regions: 0->0
[0.840s][info][gc,heap      ] GC(7) Humongous regions: 0->0
[0.840s][info][gc,metaspace ] GC(7) Metaspace: 6493K->6493K(1056768K)
[0.840s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.778ms
[0.840s][info][gc,cpu       ] GC(7) User=0.01s Sys=0.00s Real=0.00s
[0.918s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[0.918s][info][gc,task      ] GC(8) Using 8 workers of 8 for evacuation
[0.919s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[0.919s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 1.1ms
[0.919s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.3ms
[0.919s][info][gc,phases    ] GC(8)   Other: 0.1ms
[0.919s][info][gc,heap      ] GC(8) Eden regions: 305->0(305)
[0.919s][info][gc,heap      ] GC(8) Survivor regions: 2->2(39)
[0.919s][info][gc,heap      ] GC(8) Old regions: 0->0
[0.919s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[0.919s][info][gc,metaspace ] GC(8) Metaspace: 6493K->6493K(1056768K)
[0.919s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.638ms
[0.919s][info][gc,cpu       ] GC(8) User=0.01s Sys=0.00s Real=0.00s
[0.984s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[0.984s][info][gc,task      ] GC(9) Using 8 workers of 8 for evacuation
[0.985s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[0.985s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 1.2ms
[0.985s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.3ms
[0.985s][info][gc,phases    ] GC(9)   Other: 0.1ms
[0.985s][info][gc,heap      ] GC(9) Eden regions: 305->0(305)
[0.985s][info][gc,heap      ] GC(9) Survivor regions: 2->2(39)
[0.985s][info][gc,heap      ] GC(9) Old regions: 0->0
[0.985s][info][gc,heap      ] GC(9) Humongous regions: 0->0
[0.985s][info][gc,metaspace ] GC(9) Metaspace: 6493K->6493K(1056768K)
[0.985s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.723ms
[0.985s][info][gc,cpu       ] GC(9) User=0.01s Sys=0.00s Real=0.00s
[1.058s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[1.058s][info][gc,task      ] GC(10) Using 8 workers of 8 for evacuation
[1.062s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[1.062s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 3.3ms
[1.062s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.3ms
[1.062s][info][gc,phases    ] GC(10)   Other: 0.4ms
[1.062s][info][gc,heap      ] GC(10) Eden regions: 305->0(304)
[1.062s][info][gc,heap      ] GC(10) Survivor regions: 2->3(39)
[1.062s][info][gc,heap      ] GC(10) Old regions: 0->0
[1.062s][info][gc,heap      ] GC(10) Humongous regions: 0->0
[1.062s][info][gc,metaspace ] GC(10) Metaspace: 6493K->6493K(1056768K)
[1.062s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 306M->2M(512M) 4.204ms
[1.062s][info][gc,cpu       ] GC(10) User=0.00s Sys=0.00s Real=0.01s
[1.129s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[1.129s][info][gc,task      ] GC(11) Using 8 workers of 8 for evacuation
[1.131s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
